cheater1_rank,cheater1_username,cheater1_submission_id,cheater2_rank,cheater2_username,cheater2_submission_id,similarity_percentage
288,https://leetcode.com/u/Pras28,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327898264,3590,https://leetcode.com/u/wrewsama,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327927603,60
291,https://leetcode.com/u/Ayush743,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327905369,4152,https://leetcode.com/u/Randomiser1901,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327937905,63
292,https://leetcode.com/u/ianwong1999,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327899877,424,https://leetcode.com/u/Black_Cat_99168,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327906990,55
295,https://leetcode.com/u/ShenTM,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327909696,4143,https://leetcode.com/u/Arbeitslose,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327937754,100
296,https://leetcode.com/u/EigenVector0,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327921536,3715,https://leetcode.com/u/Rushil10,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327930161,53
299,https://leetcode.com/u/dotuas,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327915698,532,https://leetcode.com/u/woi55,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327920947,71
300,https://leetcode.com/u/linhhlp,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327931134,4772,https://leetcode.com/u/kriti110603,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327943252,75
303,https://leetcode.com/u/hqf418,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327923275,7623,https://leetcode.com/u/jrajwin,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327969468,90
305,https://leetcode.com/u/deadRabbit,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327912659,3620,https://leetcode.com/u/souravj02,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327899690,70
307,https://leetcode.com/u/ocavue,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327918793,5853,https://leetcode.com/u/divyanshuhprajapati9,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327960207,51
310,https://leetcode.com/u/stingspree,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327908644,3933,https://leetcode.com/u/aryan_kohli19,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327934251,86
311,https://leetcode.com/u/mbeceanu,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327908893,7904,https://leetcode.com/u/Nomomo,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327956456,85
315,https://leetcode.com/u/kasinathansj,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327909902,6170,https://leetcode.com/u/divyansh_2069,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327956506,73
316,https://leetcode.com/u/samarpit_agarwal,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327923645,3180,https://leetcode.com/u/ambuj_2003,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327912975,56
317,https://leetcode.com/u/ykamo,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327923764,3829,https://leetcode.com/u/shaydulin,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327932393,70
318,https://leetcode.com/u/OuOPianDog,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327920149,7077,https://leetcode.com/u/gabhinav001,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327960220,85
319,https://leetcode.com/u/harshbardolia,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327905430,3287,https://leetcode.com/u/CYXJPaxAzh,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327918231,60
